Time stamp,SAM System Power
"Jan 1, 12:00 am",0
"Jan 1, 01:00 am",0
"Jan 1, 02:00 am",0
"Jan 1, 03:00 am",0
"Jan 1, 04:00 am",0
"Jan 1, 05:00 am",0
"Jan 1, 06:00 am",0
"Jan 1, 07:00 am",415.89
"Jan 1, 08:00 am",1144.82
"Jan 1, 09:00 am",2710.8
"Jan 1, 10:00 am",3157.69
"Jan 1, 11:00 am",3365.99
"Jan 1, 12:00 pm",3320.18
"Jan 1, 01:00 pm",2763.96
"Jan 1, 02:00 pm",2433.09
"Jan 1, 03:00 pm",2264.99
"Jan 1, 04:00 pm",1364.04
"Jan 1, 05:00 pm",48.0369
"Jan 1, 06:00 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 11:00 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 01:00 am",0
"Jan 2, 02:00 am",0
"Jan 2, 03:00 am",0
"Jan 2, 04:00 am",0
"Jan 2, 05:00 am",0
"Jan 2, 06:00 am",0
"Jan 2, 07:00 am",737.576
"Jan 2, 08:00 am",1926.17
"Jan 2, 09:00 am",2692.83
"Jan 2, 10:00 am",3090.68
"Jan 2, 11:00 am",3304.39
"Jan 2, 12:00 pm",3307.99
"Jan 2, 01:00 pm",2657.62
"Jan 2, 02:00 pm",2770.58
"Jan 2, 03:00 pm",1624.41
"Jan 2, 04:00 pm",1271.23
"Jan 2, 05:00 pm",425.708
"Jan 2, 06:00 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 11:00 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 01:00 am",0
"Jan 3, 02:00 am",0
"Jan 3, 03:00 am",0
"Jan 3, 04:00 am",0
"Jan 3, 05:00 am",0
"Jan 3, 06:00 am",0
"Jan 3, 07:00 am",761.618
"Jan 3, 08:00 am",1904.33
"Jan 3, 09:00 am",2602.56
"Jan 3, 10:00 am",3146.47
"Jan 3, 11:00 am",3189.61
"Jan 3, 12:00 pm",3217.84
"Jan 3, 01:00 pm",2542.89
"Jan 3, 02:00 pm",1290.53
"Jan 3, 03:00 pm",1586.77
"Jan 3, 04:00 pm",1792.45
"Jan 3, 05:00 pm",139.202
"Jan 3, 06:00 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 11:00 pm",0
"Jan 4, 12:00 am",0
"Jan 4, 01:00 am",0
"Jan 4, 02:00 am",0
"Jan 4, 03:00 am",0
"Jan 4, 04:00 am",0
"Jan 4, 05:00 am",0
"Jan 4, 06:00 am",0
"Jan 4, 07:00 am",728.32
"Jan 4, 08:00 am",1909.5
"Jan 4, 09:00 am",2691.1
"Jan 4, 10:00 am",3188.63
"Jan 4, 11:00 am",3443.77
"Jan 4, 12:00 pm",3419.45
"Jan 4, 01:00 pm",3228.27
"Jan 4, 02:00 pm",2755.91
"Jan 4, 03:00 pm",2151.3
"Jan 4, 04:00 pm",1187.79
"Jan 4, 05:00 pm",372.995
"Jan 4, 06:00 pm",0
"Jan 4, 07:00 pm",0
"Jan 4, 08:00 pm",0
"Jan 4, 09:00 pm",0
"Jan 4, 10:00 pm",0
"Jan 4, 11:00 pm",0
"Jan 5, 12:00 am",0
"Jan 5, 01:00 am",0
"Jan 5, 02:00 am",0
"Jan 5, 03:00 am",0
"Jan 5, 04:00 am",0
"Jan 5, 05:00 am",0
"Jan 5, 06:00 am",0
"Jan 5, 07:00 am",713.673
"Jan 5, 08:00 am",1847.78
"Jan 5, 09:00 am",2652.99
